카테고리,요구사항 ID,요구사항 내용,우선순위,관련 기능 (기획안 참조),비고
환경 설정,SRS-ENV-001,Java 17 개발 환경 구성,높음,프로젝트 초기 설정,
환경 설정,SRS-ENV-002,Spring Boot 3.5 프로젝트 초기 설정 및 의존성 관리,높음,프로젝트 초기 설정,
환경 설정,SRS-ENV-003,RDBMS (MySQL/PostgreSQL) 연동 설정 및 초기 스키마 구성,높음,프로젝트 초기 설정,
환경 설정,SRS-ENV-004,Docker Desktop 설치 및 구성,높음,Docker 컨테이너화,
환경 설정,SRS-ENV-005,Git Repository 설정 및 협업 준비,높음,프로젝트 초기 설정,
사용자 인증 및 인가,SRS-AUTH-001,사용자 회원가입 기능 (아이디, 비밀번호 등),높음,사용자 로그인/회원가입,비밀번호 암호화 포함
사용자 인증 및 인가,SRS-AUTH-002,사용자 로그인 기능 (아이디, 비밀번호 검증),높음,사용자 로그인/회원가입,
사용자 인증 및 인가,SRS-AUTH-003,JWT 기반 인증 토큰 발급 및 관리,높음,JWT 기반 인증/인가 시스템,토큰 유효성 검사, 갱신 등
사용자 인증 및 인가,SRS-AUTH-004,JWT 기반 API 접근 인가 처리 (Roles),높음,JWT 기반 인증/인가 시스템,인가되지 않은 접근 차단
PTCF 모델 관리,SRS-PTCF-001,Persona(페르소나) 정보 CRUD API 구현,높음,PTCF 템플릿 생성/조회/수정/삭제,
PTCF 모델 관리,SRS-PTCF-002,Task(태스크) 정보 CRUD API 구현,높음,PTCF 템플릿 생성/조회/수정/삭제,
PTCF 모델 관리,SRS-PTCF-003,Context(컨텍스트) 정보 CRUD API 구현,높음,PTCF 템플릿 생성/조회/수정/삭제,
PTCF 모델 관리,SRS-PTCF-004,Format(포맷) 정보 CRUD API 구현,높음,PTCF 템플릿 생성/조회/수정/삭제,
프롬프트 생성 및 관리,SRS-PROMPT-001,사용자가 PTCF 요소를 조합하여 프롬프트를 생성하는 기능,높음,프롬프트 생성/관리,
프롬프트 생성 및 관리,SRS-PROMPT-002,생성된 프롬프트 저장 기능 (데이터베이스 연동),높음,프롬프트 생성/관리,
프롬프트 생성 및 관리,SRS-PROMPT-003,자신이 작성한 프롬프트 목록 조회 기능,높음,프롬프트 생성/관리,사용자별 조회
프롬프트 생성 및 관리,SRS-PROMPT-004,특정 프롬프트 상세 조회 기능,높음,프롬프트 생성/관리,
프롬프트 생성 및 관리,SRS-PROMPT-005,프롬프트 수정 및 삭제 기능,높음,프롬프트 생성/관리,
프롬프트 검색 및 필터링,SRS-SEARCH-001,프롬프트 목록에서 키워드 검색 기능,보통,프롬프트 검색 및 필터링,예: 제목, 내용 검색
프롬프트 검색 및 필터링,SRS-SEARCH-002,프롬프트 목록 필터링 기능 (생성일, 수정일 등),보통,프롬프트 검색 및 필터링,
프론트엔드 UI/UX,SRS-FE-001,사용자 로그인/회원가입 페이지 구현 (Thymeleaf),높음,사용자 로그인/회원가입,
프론트엔드 UI/UX,SRS-FE-002,PTCF 요소 입력 및 관리 페이지 구현 (CRUD UI),높음,PTCF 템플릿 생성/조회/수정/삭제,
프론트엔드 UI/UX,SRS-FE-003,프롬프트 생성 및 조회 페이지 구현,높음,프롬프트 생성/관리,
프론트엔드 UI/UX,SRS-FE-004,반응형 웹 디자인 적용 (PC/모바일 기본 레이아웃),보통,반응형 웹 디자인,
프론트엔드 UI/UX,SRS-FE-005,간단한 통계 정보 시각화 (예: 가장 많이 사용된 PTCF 항목),낮음,간단한 통계 기능,
백엔드 API 개발,SRS-BE-001,RESTful API 설계 및 구현 (PTCF, 프롬프트 관련),높음,PTCF 모델링 및 CRUD API 개발,OpenAPI (Swagger) 명세서 포함
백엔드 API 개발,SRS-BE-002,데이터베이스 모델링 및 JPA 엔티티 구현,높음,PTCF 모델링 및 CRUD API 개발,
백엔드 API 개발,SRS-BE-003,API 예외 처리 및 에러 응답 정의,높음,PTCF 모델링 및 CRUD API 개발,
백엔드 API 개발,SRS-BE-004,로깅(Logging) 시스템 구축,보통,PTCF 모델링 및 CRUD API 개발,운영 및 디버깅 용이성 확보
컨테이너화 및 배포,SRS-DOCKER-001,Spring Boot 애플리케이션 Dockerfile 작성,높음,Docker 컨테이너화,
컨테이너화 및 배포,SRS-DOCKER-002,RDBMS를 포함한 Docker Compose 파일 작성,높음,Docker 컨테이너화,개발 환경용
컨테이너화 및 배포,SRS-AWS-001,AWS (EC2 또는 Elastic Beanstalk) 계정 설정 및 인스턴스 준비,높음,AWS 배포 및 CI/CD 구축,
컨테이너화 및 배포,SRS-AWS-002,AWS RDS (관계형 데이터베이스 서비스) 설정 및 연동,높음,AWS 배포 및 CI/CD 구축,
컨테이너화 및 배포,SRS-CI/CD-001,Github Actions (또는 Jenkins)를 이용한 CI/CD 파이프라인 구축,높음,CI/CD 파이프라인 구축,자동 빌드, 테스트, 배포
테스트 및 문서화,SRS-TEST-001,단위 테스트 및 통합 테스트 코드 작성,보통,테스트 및 문서화,주요 기능 위주
테스트 및 문서화,SRS-DOC-001,API 명세서 (Swagger) 자동 생성 및 업데이트,높음,API 명세서,
테스트 및 문서화,SRS-DOC-002,프로젝트 개발 보고서 작성,높음,프로젝트 개발 보고서,
테스트 및 문서화,SRS-DOC-003,취업 포트폴리오 문서 작성 및 정리,높음,취업 포트폴리오 문서,
